Account ID,Member ID,Account Type,Account Open Date,Member Age,Product ID,Post Date,Post Time,Amount,Action Type,Source Type,Transaction Description,Fraud Adjustment Indicator
3960000425,81908447,General Membership,2/22/2022,29,0007,9/9/2024,930,$14.99,Deposit,,,9/6 ALBERT GENIUS RETURN-UNAUTH TRANS
1065072949,109702802,General Membership,4/5/2024,42,0007,9/10/2024,1010,$51.99,Deposit,,,8/23 BRIGIT-COM RETURN-UNAUTH TRANS
1065072949,109702802,General Membership,4/5/2024,42,0007,9/10/2024,1010,$8.99,Deposit,,,8/23 BRIGIT-COM RETURN-UNAUTH TRANS
3960000425,81908447,General Membership,2/22/2022,29,0007,9/11/2024,851,$14.99,Deposit,,,9/11 ALBERT GENIUS RETURN-UNAUTH TRANS
6917521924,578759845,LLC,3/23/2021,0,0010,9/11/2024,937,$106.12,Deposit,,,9/4 AVANT LLC 800-71 RETURN-UNAUTH TRANS
8270684266,871450422,General Membership,9/21/2013,47,0007,9/11/2024,1051,$148.00,Deposit,,,9/4 COMENITY PAY JT RETURN-UNAUTH TRANS
2232634869,221834549,General Membership,3/6/2020,70,0007,9/11/2024,1507,$14.47,Deposit,,,8/6 VIVINT RETURN-UNAUTH TRANS
2232634869,221834549,General Membership,3/6/2020,70,0007,9/11/2024,1507,$24.99,Deposit,,,8/6 VIVINT RETURN-UNAUTH TRANS
2232634869,221834549,General Membership,3/6/2020,70,0007,9/11/2024,1510,$39.46,Deposit,,,9/4 VIVINT RETURN-UNAUTH TRANS
267500489,25795200,General Membership,5/4/2018,55,0007,9/18/2024,828,$211.00,Deposit,,,RTN SYNCHRONY BANK UNAUTH
5727687820,697196787,General Membership,11/14/2022,40,0007,9/19/2024,1314,$50.00,Deposit,,,RTN CAPITAL ONE CARD UNAUTH
267500489,25795200,General Membership,5/4/2018,55,0007,10/4/2024,1534,$40.00,Deposit,,,10/4 NORDSTROMS RETURN-UNAUTH TRANS
3666362550,98863673,General Membership,10/19/2019,30,0007,10/8/2024,1131,$50.52,Deposit,,,8/29 LEPA FITNESS CEN RETURN-UNAUTH TRANS
3666362550,98863673,General Membership,10/19/2019,30,0007,10/8/2024,1136,$50.52,Deposit,,,10/1 LEAP FITNESS CEN RETURN-UNAUTH TRANS
1174204423,424821761,General Membership,4/7/2022,22,0007,10/10/2024,1458,$259.17,Deposit,,,10/10 ERIE INS GROUP RETURN-UNAUTH TRANS
